
Converting numbers in file: P2\TC1.txt
Original: 6980368	Binary: 0b11010101000001100010000	Hexadecimal: 0x6a8310
Original: 9954392	Binary: 0b100101111110010001011000	Hexadecimal: 0x97e458
Original: 2856859	Binary: 0b1010111001011110011011	Hexadecimal: 0x2b979b
Original: 1332118	Binary: 0b101000101001110010110	Hexadecimal: 0x145396
Original: 6984725	Binary: 0b11010101001010000010101	Hexadecimal: 0x6a9415
Original: 1925762	Binary: 0b111010110001010000010	Hexadecimal: 0x1d6282
Original: 2138171	Binary: 0b1000001010000000111011	Hexadecimal: 0x20a03b
Original: 347447	Binary: 0b1010100110100110111	Hexadecimal: 0x54d37
Original: 8839390	Binary: 0b100001101110000011011110	Hexadecimal: 0x86e0de
Original: 3951652	Binary: 0b1111000100110000100100	Hexadecimal: 0x3c4c24
Original: 3755102	Binary: 0b1110010100110001011110	Hexadecimal: 0x394c5e
Original: 6867687	Binary: 0b11010001100101011100111	Hexadecimal: 0x68cae7
Original: 4383175	Binary: 0b10000101110000111000111	Hexadecimal: 0x42e1c7
Original: 7125508	Binary: 0b11011001011101000000100	Hexadecimal: 0x6cba04
Original: 7799732	Binary: 0b11101110000001110110100	Hexadecimal: 0x7703b4
Original: 8784156	Binary: 0b100001100000100100011100	Hexadecimal: 0x86091c
Original: 1372809	Binary: 0b101001111001010001001	Hexadecimal: 0x14f289
Original: 1327984	Binary: 0b101000100001101110000	Hexadecimal: 0x144370
Original: 9205087	Binary: 0b100011000111010101011111	Hexadecimal: 0x8c755f
Original: 6524241	Binary: 0b11000111000110101010001	Hexadecimal: 0x638d51
Original: 9316072	Binary: 0b100011100010011011101000	Hexadecimal: 0x8e26e8
Original: 127744	Binary: 0b11111001100000000	Hexadecimal: 0x1f300
Original: 8388820	Binary: 0b100000000000000011010100	Hexadecimal: 0x8000d4
Original: 6883557	Binary: 0b11010010000100011100101	Hexadecimal: 0x6908e5
Original: 2291239	Binary: 0b1000101111011000100111	Hexadecimal: 0x22f627
Original: 3101270	Binary: 0b1011110101001001010110	Hexadecimal: 0x2f5256
Original: 1382825	Binary: 0b101010001100110101001	Hexadecimal: 0x1519a9
Original: 9873376	Binary: 0b100101101010011111100000	Hexadecimal: 0x96a7e0
Original: 6873500	Binary: 0b11010001110000110011100	Hexadecimal: 0x68e19c
Original: 8185634	Binary: 0b11111001110011100100010	Hexadecimal: 0x7ce722
Original: 2464786	Binary: 0b1001011001110000010010	Hexadecimal: 0x259c12
Original: 8387154	Binary: 0b11111111111101001010010	Hexadecimal: 0x7ffa52
Original: 5581444	Binary: 0b10101010010101010000100	Hexadecimal: 0x552a84
Original: 8097911	Binary: 0b11110111001000001110111	Hexadecimal: 0x7b9077
Original: 8882527	Binary: 0b100001111000100101011111	Hexadecimal: 0x87895f
Original: 8941444	Binary: 0b100010000110111110000100	Hexadecimal: 0x886f84
Original: 4942703	Binary: 0b10010110110101101101111	Hexadecimal: 0x4b6b6f
Original: 101144	Binary: 0b11000101100011000	Hexadecimal: 0x18b18
Original: 7471180	Binary: 0b11100100000000001001100	Hexadecimal: 0x72004c
Original: 1932131	Binary: 0b111010111101101100011	Hexadecimal: 0x1d7b63
Original: 8052752	Binary: 0b11110101110000000010000	Hexadecimal: 0x7ae010
Original: 6359493	Binary: 0b11000010000100111000101	Hexadecimal: 0x6109c5
Original: 1967646	Binary: 0b111100000011000011110	Hexadecimal: 0x1e061e
Original: 6575052	Binary: 0b11001000101001111001100	Hexadecimal: 0x6453cc
Original: 2323342	Binary: 0b1000110111001110001110	Hexadecimal: 0x23738e
Original: 6735760	Binary: 0b11001101100011110010000	Hexadecimal: 0x66c790
Original: 8895858	Binary: 0b100001111011110101110010	Hexadecimal: 0x87bd72
Original: 4238091	Binary: 0b10000001010101100001011	Hexadecimal: 0x40ab0b
Original: 7093069	Binary: 0b11011000011101101001101	Hexadecimal: 0x6c3b4d
Original: 39	Binary: 0b100111	Hexadecimal: 0x27

Converting numbers in file: P2\TC3.txt
Original: -39	Binary: -0b100111	Hexadecimal: -0x27
Original: -36	Binary: -0b100100	Hexadecimal: -0x24
Original: 8	Binary: 0b1000	Hexadecimal: 0x8
Original: 34	Binary: 0b100010	Hexadecimal: 0x22
Original: 17	Binary: 0b10001	Hexadecimal: 0x11
Original: 49	Binary: 0b110001	Hexadecimal: 0x31
Original: 5	Binary: 0b101	Hexadecimal: 0x5
Original: 39	Binary: 0b100111	Hexadecimal: 0x27
Original: 0	Binary: 0b0	Hexadecimal: 0x0
Original: 33	Binary: 0b100001	Hexadecimal: 0x21
Original: 12	Binary: 0b1100	Hexadecimal: 0xc
Original: -6	Binary: -0b110	Hexadecimal: -0x6
Original: 27	Binary: 0b11011	Hexadecimal: 0x1b
Original: -4	Binary: -0b100	Hexadecimal: -0x4
Original: -38	Binary: -0b100110	Hexadecimal: -0x26
Original: 26	Binary: 0b11010	Hexadecimal: 0x1a
Original: 49	Binary: 0b110001	Hexadecimal: 0x31
Original: 29	Binary: 0b11101	Hexadecimal: 0x1d
Original: 42	Binary: 0b101010	Hexadecimal: 0x2a
Original: -16	Binary: -0b10000	Hexadecimal: -0x10
Original: -28	Binary: -0b11100	Hexadecimal: -0x1c
Original: 34	Binary: 0b100010	Hexadecimal: 0x22
Original: 20	Binary: 0b10100	Hexadecimal: 0x14
Original: 0	Binary: 0b0	Hexadecimal: 0x0
Original: 25	Binary: 0b11001	Hexadecimal: 0x19
Original: 45	Binary: 0b101101	Hexadecimal: 0x2d
Original: 3	Binary: 0b11	Hexadecimal: 0x3
Original: -46	Binary: -0b101110	Hexadecimal: -0x2e
Original: -46	Binary: -0b101110	Hexadecimal: -0x2e
Original: 29	Binary: 0b11101	Hexadecimal: 0x1d
Original: 33	Binary: 0b100001	Hexadecimal: 0x21
Original: 29	Binary: 0b11101	Hexadecimal: 0x1d
Original: 26	Binary: 0b11010	Hexadecimal: 0x1a
Original: -5	Binary: -0b101	Hexadecimal: -0x5
Original: -36	Binary: -0b100100	Hexadecimal: -0x24
Original: 12	Binary: 0b1100	Hexadecimal: 0xc
Original: 45	Binary: 0b101101	Hexadecimal: 0x2d
Original: -50	Binary: -0b110010	Hexadecimal: -0x32
Original: 0	Binary: 0b0	Hexadecimal: 0x0
Original: -6	Binary: -0b110	Hexadecimal: -0x6
Original: -39	Binary: -0b100111	Hexadecimal: -0x27
Original: 35	Binary: 0b100011	Hexadecimal: 0x23
Original: 26	Binary: 0b11010	Hexadecimal: 0x1a
Original: -35	Binary: -0b100011	Hexadecimal: -0x23
Original: -42	Binary: -0b101010	Hexadecimal: -0x2a
Original: 14	Binary: 0b1110	Hexadecimal: 0xe
Original: -3	Binary: -0b11	Hexadecimal: -0x3
Original: 22	Binary: 0b10110	Hexadecimal: 0x16
Original: -47	Binary: -0b101111	Hexadecimal: -0x2f
Original: 12	Binary: 0b1100	Hexadecimal: 0xc
Original: -17	Binary: -0b10001	Hexadecimal: -0x11
Original: -31	Binary: -0b11111	Hexadecimal: -0x1f
Original: -25	Binary: -0b11001	Hexadecimal: -0x19
Original: -35	Binary: -0b100011	Hexadecimal: -0x23
Original: -18	Binary: -0b10010	Hexadecimal: -0x12
Original: 14	Binary: 0b1110	Hexadecimal: 0xe
Original: 37	Binary: 0b100101	Hexadecimal: 0x25
Original: -8	Binary: -0b1000	Hexadecimal: -0x8
Original: -41	Binary: -0b101001	Hexadecimal: -0x29
Original: -50	Binary: -0b110010	Hexadecimal: -0x32
Original: -9	Binary: -0b1001	Hexadecimal: -0x9
Original: 2	Binary: 0b10	Hexadecimal: 0x2
Original: 12	Binary: 0b1100	Hexadecimal: 0xc
Original: -39	Binary: -0b100111	Hexadecimal: -0x27
Original: -17	Binary: -0b10001	Hexadecimal: -0x11
Original: 0	Binary: 0b0	Hexadecimal: 0x0
Original: 27	Binary: 0b11011	Hexadecimal: 0x1b
Original: 28	Binary: 0b11100	Hexadecimal: 0x1c
Original: 45	Binary: 0b101101	Hexadecimal: 0x2d
Original: -44	Binary: -0b101100	Hexadecimal: -0x2c
Original: 28	Binary: 0b11100	Hexadecimal: 0x1c
Original: 35	Binary: 0b100011	Hexadecimal: 0x23
Original: -33	Binary: -0b100001	Hexadecimal: -0x21
Original: 43	Binary: 0b101011	Hexadecimal: 0x2b
Original: -4	Binary: -0b100	Hexadecimal: -0x4
Original: 23	Binary: 0b10111	Hexadecimal: 0x17
Original: -49	Binary: -0b110001	Hexadecimal: -0x31
Original: 49	Binary: 0b110001	Hexadecimal: 0x31
Original: -7	Binary: -0b111	Hexadecimal: -0x7
Original: -38	Binary: -0b100110	Hexadecimal: -0x26
Original: -45	Binary: -0b101101	Hexadecimal: -0x2d
Original: 5	Binary: 0b101	Hexadecimal: 0x5
Original: -21	Binary: -0b10101	Hexadecimal: -0x15
Original: 26	Binary: 0b11010	Hexadecimal: 0x1a
Original: -2	Binary: -0b10	Hexadecimal: -0x2
Original: -24	Binary: -0b11000	Hexadecimal: -0x18
Original: 6	Binary: 0b110	Hexadecimal: 0x6
Original: -45	Binary: -0b101101	Hexadecimal: -0x2d
Original: -4	Binary: -0b100	Hexadecimal: -0x4
Original: 15	Binary: 0b1111	Hexadecimal: 0xf
Original: 0	Binary: 0b0	Hexadecimal: 0x0
Original: -17	Binary: -0b10001	Hexadecimal: -0x11
Original: -35	Binary: -0b100011	Hexadecimal: -0x23
Original: 43	Binary: 0b101011	Hexadecimal: 0x2b
Original: 45	Binary: 0b101101	Hexadecimal: 0x2d
Original: -35	Binary: -0b100011	Hexadecimal: -0x23
Original: -8	Binary: -0b1000	Hexadecimal: -0x8
Original: 28	Binary: 0b11100	Hexadecimal: 0x1c
Original: 47	Binary: 0b101111	Hexadecimal: 0x2f
Original: 34	Binary: 0b100010	Hexadecimal: 0x22
Original: -24	Binary: -0b11000	Hexadecimal: -0x18
Original: -42	Binary: -0b101010	Hexadecimal: -0x2a
Original: -13	Binary: -0b1101	Hexadecimal: -0xd
Original: 14	Binary: 0b1110	Hexadecimal: 0xe
Original: -45	Binary: -0b101101	Hexadecimal: -0x2d
Original: -35	Binary: -0b100011	Hexadecimal: -0x23
Original: 27	Binary: 0b11011	Hexadecimal: 0x1b
Original: -12	Binary: -0b1100	Hexadecimal: -0xc
Original: -19	Binary: -0b10011	Hexadecimal: -0x13
Original: -20	Binary: -0b10100	Hexadecimal: -0x14
Original: -14	Binary: -0b1110	Hexadecimal: -0xe
Original: 20	Binary: 0b10100	Hexadecimal: 0x14
Original: 30	Binary: 0b11110	Hexadecimal: 0x1e
Original: 12	Binary: 0b1100	Hexadecimal: 0xc
Original: -36	Binary: -0b100100	Hexadecimal: -0x24
Original: -47	Binary: -0b101111	Hexadecimal: -0x2f
Original: -27	Binary: -0b11011	Hexadecimal: -0x1b
Original: -3	Binary: -0b11	Hexadecimal: -0x3
Original: 6	Binary: 0b110	Hexadecimal: 0x6
Original: 36	Binary: 0b100100	Hexadecimal: 0x24
Original: 9	Binary: 0b1001	Hexadecimal: 0x9
Original: -16	Binary: -0b10000	Hexadecimal: -0x10
Original: 36	Binary: 0b100100	Hexadecimal: 0x24
Original: -27	Binary: -0b11011	Hexadecimal: -0x1b
Original: 7	Binary: 0b111	Hexadecimal: 0x7
Original: -6	Binary: -0b110	Hexadecimal: -0x6
Original: -5	Binary: -0b101	Hexadecimal: -0x5
Original: 5	Binary: 0b101	Hexadecimal: 0x5
Original: 47	Binary: 0b101111	Hexadecimal: 0x2f
Original: 23	Binary: 0b10111	Hexadecimal: 0x17
Original: -48	Binary: -0b110000	Hexadecimal: -0x30
Original: -24	Binary: -0b11000	Hexadecimal: -0x18
Original: 40	Binary: 0b101000	Hexadecimal: 0x28
Original: -4	Binary: -0b100	Hexadecimal: -0x4
Original: -18	Binary: -0b10010	Hexadecimal: -0x12
Original: -19	Binary: -0b10011	Hexadecimal: -0x13
Original: 14	Binary: 0b1110	Hexadecimal: 0xe
Original: 15	Binary: 0b1111	Hexadecimal: 0xf
Original: 1	Binary: 0b1	Hexadecimal: 0x1
Original: 24	Binary: 0b11000	Hexadecimal: 0x18
Original: -9	Binary: -0b1001	Hexadecimal: -0x9
Original: -50	Binary: -0b110010	Hexadecimal: -0x32
Original: 18	Binary: 0b10010	Hexadecimal: 0x12
Original: 15	Binary: 0b1111	Hexadecimal: 0xf
Original: 30	Binary: 0b11110	Hexadecimal: 0x1e
Original: 44	Binary: 0b101100	Hexadecimal: 0x2c
Original: 9	Binary: 0b1001	Hexadecimal: 0x9
Original: 19	Binary: 0b10011	Hexadecimal: 0x13
Original: 33	Binary: 0b100001	Hexadecimal: 0x21
Original: 41	Binary: 0b101001	Hexadecimal: 0x29
Original: -24	Binary: -0b11000	Hexadecimal: -0x18
Original: 43	Binary: 0b101011	Hexadecimal: 0x2b
Original: 48	Binary: 0b110000	Hexadecimal: 0x30
Original: -23	Binary: -0b10111	Hexadecimal: -0x17
Original: 7	Binary: 0b111	Hexadecimal: 0x7
Original: 28	Binary: 0b11100	Hexadecimal: 0x1c
Original: 8	Binary: 0b1000	Hexadecimal: 0x8
Original: -2	Binary: -0b10	Hexadecimal: -0x2
Original: 37	Binary: 0b100101	Hexadecimal: 0x25
Original: 42	Binary: 0b101010	Hexadecimal: 0x2a
Original: -17	Binary: -0b10001	Hexadecimal: -0x11
Original: -6	Binary: -0b110	Hexadecimal: -0x6
Original: 36	Binary: 0b100100	Hexadecimal: 0x24
Original: 22	Binary: 0b10110	Hexadecimal: 0x16
Original: 27	Binary: 0b11011	Hexadecimal: 0x1b
Original: 31	Binary: 0b11111	Hexadecimal: 0x1f
Original: -47	Binary: -0b101111	Hexadecimal: -0x2f
Original: -43	Binary: -0b101011	Hexadecimal: -0x2b
Original: 0	Binary: 0b0	Hexadecimal: 0x0
Original: 27	Binary: 0b11011	Hexadecimal: 0x1b
Original: 30	Binary: 0b11110	Hexadecimal: 0x1e
Original: 12	Binary: 0b1100	Hexadecimal: 0xc
Original: -15	Binary: -0b1111	Hexadecimal: -0xf
Original: -19	Binary: -0b10011	Hexadecimal: -0x13
Original: -42	Binary: -0b101010	Hexadecimal: -0x2a
Original: -37	Binary: -0b100101	Hexadecimal: -0x25
Original: 31	Binary: 0b11111	Hexadecimal: 0x1f
Original: -10	Binary: -0b1010	Hexadecimal: -0xa
Original: 18	Binary: 0b10010	Hexadecimal: 0x12
Original: 33	Binary: 0b100001	Hexadecimal: 0x21
Original: -15	Binary: -0b1111	Hexadecimal: -0xf
Original: 17	Binary: 0b10001	Hexadecimal: 0x11
Original: 25	Binary: 0b11001	Hexadecimal: 0x19
Original: -25	Binary: -0b11001	Hexadecimal: -0x19
Original: -5	Binary: -0b101	Hexadecimal: -0x5
Original: 33	Binary: 0b100001	Hexadecimal: 0x21
Original: -13	Binary: -0b1101	Hexadecimal: -0xd
Original: 33	Binary: 0b100001	Hexadecimal: 0x21
Original: -10	Binary: -0b1010	Hexadecimal: -0xa
Original: 47	Binary: 0b101111	Hexadecimal: 0x2f
Original: 47	Binary: 0b101111	Hexadecimal: 0x2f
Original: -13	Binary: -0b1101	Hexadecimal: -0xd
Original: -32	Binary: -0b100000	Hexadecimal: -0x20
Original: 1	Binary: 0b1	Hexadecimal: 0x1
Original: 1	Binary: 0b1	Hexadecimal: 0x1
Original: -25	Binary: -0b11001	Hexadecimal: -0x19
Original: -33	Binary: -0b100001	Hexadecimal: -0x21
Original: 16	Binary: 0b10000	Hexadecimal: 0x10
Original: 17	Binary: 0b10001	Hexadecimal: 0x11
Original: 4	Binary: 0b100	Hexadecimal: 0x4

Converting numbers in file: P2\TC4.txt
Original: -39	Binary: -0b100111	Hexadecimal: -0x27
Original: -36	Binary: -0b100100	Hexadecimal: -0x24
Original: 8	Binary: 0b1000	Hexadecimal: 0x8
Original: 34	Binary: 0b100010	Hexadecimal: 0x22
Original: 17	Binary: 0b10001	Hexadecimal: 0x11
Original: 49	Binary: 0b110001	Hexadecimal: 0x31
Original: 5	Binary: 0b101	Hexadecimal: 0x5
Original: 0	Binary: 0b0	Hexadecimal: 0x0
Original: 33	Binary: 0b100001	Hexadecimal: 0x21
Original: 12	Binary: 0b1100	Hexadecimal: 0xc
Original: -6	Binary: -0b110	Hexadecimal: -0x6
Original: 27	Binary: 0b11011	Hexadecimal: 0x1b
Original: -4	Binary: -0b100	Hexadecimal: -0x4
Original: -38	Binary: -0b100110	Hexadecimal: -0x26
Original: 26	Binary: 0b11010	Hexadecimal: 0x1a
Original: 49	Binary: 0b110001	Hexadecimal: 0x31
Original: 29	Binary: 0b11101	Hexadecimal: 0x1d
Original: 42	Binary: 0b101010	Hexadecimal: 0x2a
Original: -16	Binary: -0b10000	Hexadecimal: -0x10
Original: 34	Binary: 0b100010	Hexadecimal: 0x22
Original: 20	Binary: 0b10100	Hexadecimal: 0x14
Original: 0	Binary: 0b0	Hexadecimal: 0x0
Original: 25	Binary: 0b11001	Hexadecimal: 0x19
Original: 45	Binary: 0b101101	Hexadecimal: 0x2d
Original: 3	Binary: 0b11	Hexadecimal: 0x3
Original: -46	Binary: -0b101110	Hexadecimal: -0x2e
Original: -46	Binary: -0b101110	Hexadecimal: -0x2e
Original: 29	Binary: 0b11101	Hexadecimal: 0x1d
Original: 33	Binary: 0b100001	Hexadecimal: 0x21
Original: 29	Binary: 0b11101	Hexadecimal: 0x1d
Original: 26	Binary: 0b11010	Hexadecimal: 0x1a
Original: -5	Binary: -0b101	Hexadecimal: -0x5
Original: -36	Binary: -0b100100	Hexadecimal: -0x24
Original: 12	Binary: 0b1100	Hexadecimal: 0xc
Original: 45	Binary: 0b101101	Hexadecimal: 0x2d
Original: -50	Binary: -0b110010	Hexadecimal: -0x32
Original: 0	Binary: 0b0	Hexadecimal: 0x0
Original: -6	Binary: -0b110	Hexadecimal: -0x6
